Order_ID,Customer_ID,Products,Order_Date,Order_Status,Shipping_Method,Payment_Method,Total_Price
ORDT73607,CSTM691,"ETWS909 (x1, Rp129000); ETWS746 (x2, Rp369550); ETWS110 (x1, Rp129000)",2024-06-17,Selesai,J&T,Transfer Bank - BCA,997100
ORDT71168,CSTM630,"ETWS401 (x2, Rp551080); ETWS348 (x3, Rp198550); ETWS688 (x1, Rp198550)",2024-09-03,Selesai,J&T,Transfer Bank - BNI,1896360
ORDT94413,CSTM825,"ETWS981 (x3, Rp350350); ETWS430 (x3, Rp429000); ETWS078 (x3, Rp99500)",2024-10-10,Selesai,J&T,Transfer Bank - BCA,2636550
ORDT80017,CSTM514,"ETWS633 (x1, Rp129000); ETWS139 (x1, Rp159000)",2024-11-12,Selesai,JNE,Transfer Bank - BRI,288000
ORDT35203,CSTM811,"ETWS323 (x1, Rp539000); ETWS721 (x1, Rp199000)",2024-07-19,Selesai,JNE,Transfer Bank - BRI,738000
ORDT55895,CSTM705,"ETWS725 (x3, Rp455050); ETWS819 (x1, Rp94050); ETWS832 (x3, Rp104500)",2024-03-14,Selesai,JNE,COD,1772700
ORDT44180,CSTM148,"ETWS708 (x3, Rp391200)",2024-04-17,Selesai,JNE,Transfer Bank - Mandiri,1173600
ORDT39330,CSTM289,"ETWS027 (x3, Rp383200); ETWS768 (x2, Rp229000)",2024-11-21,Selesai,JNE,DANA,1607600
ORDT41440,CSTM949,"ETWS273 (x1, Rp499000); ETWS711 (x1, Rp1499000); ETWS847 (x1, Rp479000)",2024-08-02,Selesai,J&T,OVO,2477000
ORDT15007,CSTM900,"ETWS595 (x3, Rp449000); ETWS877 (x3, Rp104500)",2024-09-15,Selesai,JNE,Transfer Bank - Mandiri,1660500
ORDT38392,CSTM183,"ETWS098 (x1, Rp31539100); ETWS139 (x1, Rp159000)",2024-12-09,Selesai,JNE,Transfer Bank - BRI,31698100
ORDT63798,CSTM018,"ETWS107 (x1, Rp249000); ETWS505 (x3, Rp399000); ETWS870 (x1, Rp422280)",2024-07-28,Selesai,JNE,OVO,1868280
ORDT73872,CSTM629,"ETWS805 (x3, Rp113050); ETWS937 (x3, Rp499000)",2024-06-29,Selesai,J&T,Transfer Bank - BNI,1836150
ORDT19348,CSTM267,"ETWS457 (x2, Rp199000); ETWS877 (x3, Rp104500); ETWS522 (x3, Rp129150)",2024-06-04,Selesai,JNE,Transfer Bank - BCA,1098950
ORDT25299,CSTM476,"ETWS123 (x2, Rp149000); ETWS291 (x1, Rp232750); ETWS920 (x1, Rp39500)",2024-04-10,Selesai,J&T,Transfer Bank - BNI,570250
ORDT40688,CSTM200,"ETWS983 (x2, Rp659000); ETWS162 (x3, Rp159000); ETWS231 (x1, Rp159500)",2024-04-10,Selesai,J&T,COD,1954500
ORDT78661,CSTM942,"ETWS956 (x3, Rp396750)",2024-11-16,Selesai,JNE,OVO,1190250
ORDT84670,CSTM462,"ETWS807 (x3, Rp199000); ETWS921 (x1, Rp396750)",2024-01-30,Selesai,SiCepat,Transfer Bank - Mandiri,993750
ORDT54281,CSTM754,"ETWS071 (x1, Rp293480); ETWS633 (x3, Rp129000)",2024-01-26,Selesai,JNE,Transfer Bank - BCA,680480
ORDT08355,CSTM312,"ETWS567 (x3, Rp104300)",2025-01-14,Selesai,J&T,OVO,312900
ORDT48497,CSTM663,"ETWS966 (x3, Rp209500)",2024-02-03,Selesai,JNE,Transfer Bank - BNI,628500
ORDT52442,CSTM333,"ETWS048 (x1, Rp249000)",2024-06-30,Selesai,SiCepat,OVO,249000
ORDT05005,CSTM933,"ETWS194 (x3, Rp5000); ETWS440 (x1, Rp502550); ETWS949 (x2, Rp439000)",2024-09-24,Selesai,J&T,GoPay,1395550
ORDT64469,CSTM456,"ETWS506 (x2, Rp399000); ETWS482 (x1, Rp363300)",2024-05-07,Selesai,J&T,Transfer Bank - Mandiri,1161300
ORDT78065,CSTM471,"ETWS549 (x1, Rp208050); ETWS780 (x3, Rp177650)",2024-10-30,Selesai,J&T,Transfer Bank - BCA,741000
ORDT81419,CSTM083,"ETWS517 (x2, Rp519000); ETWS212 (x3, Rp199500)",2024-10-21,Selesai,SiCepat,OVO,1636500
ORDT55912,CSTM931,"ETWS131 (x1, Rp429000); ETWS311 (x3, Rp209000)",2024-08-20,Selesai,J&T,OVO,1056000
ORDT19661,CSTM597,"ETWS964 (x1, Rp616550); ETWS902 (x1, Rp191600)",2024-06-12,Selesai,J&T,Transfer Bank - BNI,808150
ORDT26007,CSTM698,"ETWS174 (x2, Rp209300); ETWS037 (x1, Rp274500); ETWS812 (x2, Rp449000)",2024-09-23,Selesai,J&T,COD,1591100
ORDT20098,CSTM714,"ETWS316 (x2, Rp244300)",2025-02-23,Dikirim,J&T,Transfer Bank - Mandiri,488600
ORDT50658,CSTM955,"ETWS088 (x3, Rp616550); ETWS045 (x3, Rp219000)",2024-04-20,Selesai,JNE,Transfer Bank - BCA,2506650
ORDT06867,CSTM217,"ETWS806 (x3, Rp549000); ETWS311 (x3, Rp209000)",2024-04-07,Selesai,J&T,COD,2274000
ORDT92163,CSTM966,"ETWS786 (x1, Rp422280); ETWS174 (x1, Rp209300); ETWS519 (x1, Rp309000)",2024-04-24,Selesai,JNE,Transfer Bank - BNI,940580
ORDT85478,CSTM487,"ETWS686 (x1, Rp49000)",2024-12-10,Selesai,JNE,Transfer Bank - BCA,49000
ORDT38831,CSTM768,"ETWS744 (x3, Rp467100); ETWS131 (x1, Rp429000)",2024-01-21,Selesai,SiCepat,Transfer Bank - BRI,1830300
ORDT89470,CSTM806,"ETWS868 (x3, Rp95000); ETWS911 (x3, Rp151050)",2024-11-05,Selesai,J&T,DANA,738150
ORDT53758,CSTM546,"ETWS519 (x3, Rp309000)",2024-03-10,Selesai,JNE,Transfer Bank - BCA,927000
ORDT36765,CSTM884,"ETWS346 (x1, Rp569050); ETWS623 (x3, Rp616550); ETWS111 (x3, Rp479000)",2024-03-05,Selesai,JNE,Transfer Bank - BNI,3855700
ORDT70769,CSTM096,"ETWS610 (x3, Rp389000); ETWS180 (x3, Rp99000)",2024-09-17,Selesai,SiCepat,Transfer Bank - Mandiri,1464000
ORDT92949,CSTM693,"ETWS844 (x3, Rp39000); ETWS600 (x2, Rp237300)",2024-09-25,Selesai,SiCepat,Transfer Bank - BCA,591600
ORDT71811,CSTM673,"ETWS595 (x1, Rp449000); ETWS989 (x2, Rp459000); ETWS161 (x3, Rp259000)",2024-05-16,Selesai,J&T,GoPay,2144000
ORDT32479,CSTM369,"ETWS981 (x3, Rp350350); ETWS071 (x1, Rp293480); ETWS138 (x3, Rp369000)",2025-02-18,Dikirim,SiCepat,OVO,2451530
ORDT42094,CSTM437,"ETWS261 (x3, Rp85000); ETWS078 (x1, Rp99500); ETWS085 (x1, Rp349000)",2024-05-24,Selesai,J&T,Transfer Bank - Mandiri,703500
ORDT03094,CSTM534,"ETWS088 (x2, Rp616550); ETWS745 (x1, Rp399000); ETWS911 (x3, Rp151050)",2024-01-12,Selesai,J&T,DANA,2085250
ORDT02476,CSTM030,"ETWS234 (x2, Rp179000)",2025-02-03,Selesai,JNE,COD,358000
ORDT51693,CSTM940,"ETWS573 (x1, Rp209300)",2024-05-15,Selesai,SiCepat,DANA,209300
ORDT08267,CSTM115,"ETWS544 (x1, Rp141550)",2024-05-03,Selesai,J&T,Transfer Bank - BCA,141550
ORDT93695,CSTM818,"ETWS600 (x3, Rp237300); ETWS571 (x2, Rp692550); ETWS816 (x3, Rp200000)",2024-02-16,Selesai,JNE,COD,2697000
ORDT15139,CSTM016,"ETWS463 (x3, Rp249000); ETWS115 (x3, Rp569050)",2024-03-28,Selesai,SiCepat,DANA,2454150
ORDT44994,CSTM169,"ETWS359 (x1, Rp144000)",2024-03-02,Selesai,SiCepat,Transfer Bank - BCA,144000
ORDT52270,CSTM668,"ETWS832 (x1, Rp104500)",2024-03-10,Selesai,J&T,Transfer Bank - BCA,104500
ORDT60856,CSTM500,"ETWS425 (x3, Rp302680)",2025-01-28,Selesai,SiCepat,COD,908040
ORDT61211,CSTM550,"ETWS981 (x3, Rp350350); ETWS123 (x3, Rp149000); ETWS610 (x1, Rp389000)",2024-04-23,Selesai,SiCepat,DANA,1887050
ORDT20402,CSTM143,"ETWS905 (x2, Rp170050); ETWS542 (x2, Rp499000)",2024-06-17,Selesai,JNE,DANA,1338100
ORDT55162,CSTM828,"ETWS947 (x1, Rp75050); ETWS519 (x1, Rp309000); ETWS792 (x3, Rp429000)",2024-11-07,Selesai,J&T,Transfer Bank - BRI,1671050
ORDT69480,CSTM756,"ETWS084 (x2, Rp174500)",2024-02-03,Selesai,JNE,DANA,349000
ORDT17332,CSTM097,"ETWS248 (x3, Rp429000); ETWS968 (x1, Rp293480); ETWS110 (x3, Rp129000)",2024-06-30,Selesai,JNE,Transfer Bank - BRI,1967480
ORDT67901,CSTM552,"ETWS573 (x2, Rp209300); ETWS992 (x1, Rp199000)",2024-07-14,Selesai,JNE,OVO,617600
ORDT77077,CSTM624,"ETWS348 (x1, Rp198550)",2024-01-06,Selesai,J&T,DANA,198550
ORDT89246,CSTM351,"ETWS466 (x3, Rp189000); ETWS234 (x2, Rp179000); ETWS394 (x2, Rp160550)",2024-07-21,Selesai,SiCepat,GoPay,1246100
ORDT75582,CSTM228,"ETWS054 (x2, Rp156750); ETWS780 (x3, Rp177650); ETWS810 (x3, Rp209000)",2024-04-21,Selesai,SiCepat,Transfer Bank - Mandiri,1473450
ORDT05937,CSTM628,"ETWS871 (x3, Rp229000); ETWS087 (x2, Rp181300)",2024-01-05,Selesai,J&T,Transfer Bank - BCA,1049600
ORDT59434,CSTM876,"ETWS450 (x3, Rp39000); ETWS921 (x1, Rp396750); ETWS763 (x3, Rp999999)",2024-09-04,Selesai,SiCepat,Transfer Bank - BCA,3513747
ORDT61370,CSTM202,"ETWS262 (x1, Rp399000); ETWS857 (x3, Rp350350)",2024-09-26,Selesai,SiCepat,Transfer Bank - BCA,1450050
ORDT85625,CSTM753,"ETWS941 (x1, Rp119000)",2024-01-03,Selesai,SiCepat,Transfer Bank - BRI,119000
ORDT19800,CSTM827,"ETWS309 (x1, Rp198550)",2024-06-13,Selesai,SiCepat,DANA,198550
ORDT17061,CSTM965,"ETWS781 (x2, Rp389000)",2024-06-24,Selesai,SiCepat,Transfer Bank - BRI,778000
ORDT78713,CSTM657,"ETWS325 (x3, Rp199000); ETWS512 (x1, Rp407550); ETWS383 (x1, Rp474050)",2025-01-25,Selesai,SiCepat,Transfer Bank - BNI,1478600
ORDT11945,CSTM482,"ETWS061 (x2, Rp199000); ETWS697 (x1, Rp399200)",2024-04-07,Selesai,JNE,Transfer Bank - BCA,797200
ORDT38996,CSTM049,"ETWS745 (x2, Rp399000); ETWS847 (x2, Rp479000); ETWS090 (x3, Rp279000)",2024-05-26,Selesai,JNE,Transfer Bank - BCA,2593000
ORDT95413,CSTM904,"ETWS430 (x1, Rp429000); ETWS048 (x2, Rp249000); ETWS874 (x1, Rp85000)",2024-11-11,Selesai,SiCepat,Transfer Bank - BRI,1012000
ORDT40876,CSTM623,"ETWS623 (x1, Rp616550); ETWS037 (x1, Rp274500); ETWS204 (x3, Rp239200)",2024-02-05,Selesai,SiCepat,Transfer Bank - BNI,1608650
ORDT01016,CSTM210,"ETWS791 (x1, Rp269000)",2024-08-01,Selesai,SiCepat,DANA,269000
ORDT44974,CSTM054,"ETWS816 (x3, Rp200000); ETWS898 (x3, Rp275080)",2025-02-12,Selesai,JNE,Transfer Bank - BRI,1425240
ORDT36782,CSTM551,"ETWS868 (x1, Rp95000)",2024-02-15,Selesai,J&T,GoPay,95000
ORDT17978,CSTM851,"ETWS204 (x1, Rp239200); ETWS071 (x3, Rp293480)",2024-11-03,Selesai,SiCepat,Transfer Bank - BNI,1119640
ORDT36196,CSTM403,"ETWS133 (x3, Rp167200); ETWS733 (x2, Rp426550); ETWS622 (x1, Rp219000)",2024-06-09,Selesai,J&T,Transfer Bank - BCA,1573700
ORDT74276,CSTM440,"ETWS792 (x3, Rp429000); ETWS316 (x1, Rp244300)",2024-11-17,Selesai,SiCepat,Transfer Bank - BNI,1531300
ORDT98570,CSTM848,"ETWS779 (x2, Rp699000); ETWS013 (x1, Rp429000)",2024-11-05,Selesai,J&T,Transfer Bank - BNI,1827000
ORDT54064,CSTM239,"ETWS134 (x1, Rp279000)",2024-09-25,Selesai,JNE,GoPay,279000
ORDT40200,CSTM010,"ETWS466 (x1, Rp189000); ETWS806 (x2, Rp549000)",2024-06-08,Selesai,J&T,Transfer Bank - BRI,1287000
ORDT27602,CSTM742,"ETWS576 (x1, Rp464550); ETWS805 (x3, Rp113050); ETWS311 (x1, Rp209000)",2024-06-10,Selesai,SiCepat,Transfer Bank - Mandiri,1012700
ORDT68513,CSTM453,"ETWS027 (x2, Rp383200)",2024-12-24,Selesai,J&T,COD,766400
ORDT47588,CSTM633,"ETWS505 (x3, Rp399000); ETWS136 (x2, Rp87600); ETWS911 (x3, Rp151050)",2024-09-05,Selesai,JNE,Transfer Bank - BRI,1825350
ORDT19444,CSTM930,"ETWS958 (x3, Rp156750); ETWS762 (x1, Rp350350); ETWS011 (x2, Rp95400)",2025-01-27,Selesai,J&T,Transfer Bank - BRI,1011400
ORDT80562,CSTM362,"ETWS954 (x2, Rp449000); ETWS229 (x1, Rp499000)",2025-02-04,Selesai,SiCepat,Transfer Bank - BNI,1397000
ORDT51879,CSTM407,"ETWS810 (x1, Rp209000); ETWS043 (x3, Rp179000); ETWS613 (x2, Rp74500)",2024-11-07,Selesai,J&T,Transfer Bank - BRI,895000
ORDT43686,CSTM986,"ETWS845 (x2, Rp239600); ETWS844 (x1, Rp39000)",2024-12-30,Selesai,JNE,Transfer Bank - BRI,518200
ORDT41983,CSTM220,"ETWS552 (x3, Rp192280)",2024-11-06,Selesai,SiCepat,COD,576840
ORDT59081,CSTM502,"ETWS136 (x3, Rp87600); ETWS904 (x1, Rp170050)",2025-01-04,Selesai,JNE,COD,432850
ORDT44445,CSTM746,"ETWS911 (x1, Rp151050)",2024-03-29,Selesai,JNE,OVO,151050
ORDT04614,CSTM733,"ETWS312 (x1, Rp208050); ETWS993 (x1, Rp464550); ETWS088 (x3, Rp616550)",2024-03-10,Selesai,J&T,Transfer Bank - BNI,2522250
ORDT50138,CSTM009,"ETWS011 (x1, Rp95400); ETWS567 (x1, Rp104300); ETWS399 (x3, Rp49000)",2024-06-26,Selesai,J&T,OVO,346700
ORDT29538,CSTM878,"ETWS170 (x2, Rp569050)",2024-09-03,Selesai,SiCepat,Transfer Bank - BRI,1138100
ORDT48309,CSTM694,"ETWS990 (x1, Rp227050)",2024-01-21,Selesai,JNE,Transfer Bank - BCA,227050
ORDT27975,CSTM890,"ETWS534 (x1, Rp493050); ETWS312 (x1, Rp208050)",2025-01-29,Selesai,JNE,DANA,701100
ORDT58297,CSTM980,"ETWS229 (x2, Rp499000); ETWS088 (x2, Rp616550); ETWS125 (x2, Rp692550)",2024-07-30,Selesai,SiCepat,GoPay,3616200
ORDT37050,CSTM309,"ETWS715 (x2, Rp616550); ETWS745 (x1, Rp399000)",2024-09-25,Selesai,SiCepat,DANA,1632100
ORDT20114,CSTM515,"ETWS559 (x2, Rp184500); ETWS506 (x2, Rp399000)",2024-11-15,Selesai,J&T,COD,1167000
ORDT15216,CSTM118,"ETWS288 (x1, Rp649000); ETWS519 (x1, Rp309000); ETWS273 (x3, Rp499000)",2024-11-03,Selesai,SiCepat,Transfer Bank - Mandiri,2455000
ORDT44956,CSTM101,"ETWS997 (x3, Rp272300); ETWS671 (x1, Rp74500); ETWS546 (x1, Rp151050)",2024-01-31,Selesai,SiCepat,GoPay,1042450
ORDT08691,CSTM748,"ETWS013 (x3, Rp429000); ETWS837 (x3, Rp324350)",2024-12-26,Selesai,SiCepat,Transfer Bank - BCA,2260050
ORDT75265,CSTM176,"ETWS180 (x3, Rp99000); ETWS552 (x1, Rp192280)",2025-01-25,Selesai,SiCepat,DANA,489280
ORDT68469,CSTM844,"ETWS947 (x3, Rp75050); ETWS023 (x3, Rp275080)",2024-05-13,Selesai,J&T,GoPay,1050390
ORDT71319,CSTM808,"ETWS549 (x1, Rp208050)",2024-01-08,Selesai,SiCepat,GoPay,208050
ORDT64889,CSTM670,"ETWS571 (x1, Rp692550)",2024-08-28,Selesai,J&T,OVO,692550
ORDT89981,CSTM439,"ETWS915 (x3, Rp399000); ETWS125 (x1, Rp692550); ETWS911 (x2, Rp151050)",2024-04-28,Selesai,SiCepat,DANA,2191650
ORDT24761,CSTM255,"ETWS947 (x1, Rp75050); ETWS762 (x1, Rp350350)",2024-06-04,Selesai,JNE,Transfer Bank - BNI,425400
ORDT67465,CSTM347,"ETWS579 (x1, Rp519000)",2024-07-17,Selesai,SiCepat,DANA,519000
ORDT31424,CSTM203,"ETWS995 (x1, Rp489000); ETWS954 (x1, Rp449000)",2024-01-06,Selesai,JNE,Transfer Bank - BNI,938000
ORDT89847,CSTM946,"ETWS587 (x3, Rp194350); ETWS078 (x3, Rp99500)",2024-09-13,Selesai,SiCepat,OVO,881550
ORDT13607,CSTM048,"ETWS407 (x3, Rp199500); ETWS819 (x1, Rp94050); ETWS499 (x2, Rp279000)",2024-02-22,Selesai,JNE,GoPay,1250550
ORDT98926,CSTM317,"ETWS753 (x1, Rp245000)",2024-01-30,Selesai,JNE,Transfer Bank - BCA,245000
ORDT98203,CSTM356,"ETWS930 (x2, Rp76650); ETWS672 (x3, Rp749000); ETWS845 (x1, Rp239600)",2024-10-24,Selesai,J&T,DANA,2639900
ORDT24748,CSTM832,"ETWS380 (x3, Rp299000); ETWS120 (x3, Rp49000); ETWS172 (x1, Rp699000)",2024-03-23,Selesai,J&T,Transfer Bank - BCA,1743000
ORDT89737,CSTM311,"ETWS905 (x1, Rp170050); ETWS623 (x1, Rp616550); ETWS328 (x2, Rp79000)",2025-02-10,Selesai,J&T,COD,944600
ORDT22090,CSTM125,"ETWS325 (x1, Rp199000); ETWS613 (x3, Rp74500); ETWS110 (x2, Rp129000)",2024-10-31,Selesai,SiCepat,Transfer Bank - BNI,680500
ORDT51923,CSTM646,"ETWS234 (x3, Rp179000)",2025-01-23,Selesai,JNE,Transfer Bank - BRI,537000
ORDT97656,CSTM233,"ETWS380 (x1, Rp299000)",2024-04-01,Selesai,JNE,Transfer Bank - Mandiri,299000
ORDT52478,CSTM642,"ETWS401 (x3, Rp551080); ETWS915 (x2, Rp399000)",2024-02-25,Selesai,J&T,COD,2451240
ORDT72683,CSTM770,"ETWS223 (x3, Rp209000); ETWS915 (x1, Rp399000)",2024-11-23,Selesai,SiCepat,Transfer Bank - BNI,1026000
ORDT80139,CSTM830,"ETWS954 (x1, Rp449000)",2024-02-17,Selesai,JNE,Transfer Bank - Mandiri,449000
ORDT81433,CSTM288,"ETWS316 (x3, Rp244300); ETWS559 (x1, Rp184500)",2024-07-20,Selesai,JNE,DANA,917400
