product_id,name_product
ETWS647,TAS EXSPORT DAILY CASUAL TOTEPACK 
ETWS383,TAS EXSPORT GO GO PENCIL CASE 
ETWS575,TAS EXSPORT LOWKEY CARD POUCH 
ETWS043,TAS EXSPORT SCHOLAR BACKPACK L L 
ETWS279,TAS EXSPORT ROUND COIN POUCH 
ETWS697,TAS EXSPORT ROLLING DOWN LUNCH BAG 
ETWS200,TAS EXSPORT HANDY MULTIPURPOSE POUCH 
ETWS300,TAS EXSPORT GET ON IT TOTE BAG 
ETWS441,TAS SELEMPANG EXSPORT BASIC HALF MOON SLING BAG 
ETWS893,TAS EXSPORT ESSENTIAL LAPTOP SLEEVE 15 
ETWS267,TAS EXSPORT ESSENTIAL LAPTOP SLEEVE 14 
ETWS448,TAS EXSPORT DAILY HUSTLE TOTEPACK 
ETWS547,TAS RANSEL EXSPORT EASY GOING MINI BACKPACK
ETWS848,TAS JINJING DAILY TRAINING DUFFLE BAG 
ETWS669,TAS SELEMPANG DAILY TRAINING SLING BAG 
ETWS455,EXSPORT RAIN COVER 
ETWS400,TAS RANSEL EXSPORT DAY TO DAY MINI RUCKSACK 
ETWS901,SLING BAG EXSPORT HAPPY GO SLING BAG  
ETWS251,TAS JINJING EXSPORT KUMARA TOTE BAG 
ETWS164,TAS SELEMPANG EXSPORT GO ON VACATION SLING BAG 
ETWS718,TAS KOTORAN EXSPORT X PATEM DOG POO BAG 
ETWS477,TAS JINJING EXSPORT X PATEM DOG TOTE BAG 
ETWS541,POUCH EXSPORT HANDLE MULTIPURPOSE POUCH 
ETWS158,EVERYDAY LANYARD 
ETWS592,TAS JINJING DAILY JOURNEY LAPTOP TOTE BAG LIGHT BROWN 
ETWS068,TAS JINJING DAILY JOURNEY LAPTOP TOTE BAG DARK BLUE 
ETWS560,TAS JINJING DAILY JOURNEY LAPTOP TOTE BAG BLACK 
ETWS868,TAS SELEMPANG EVERYDAY LAPTOP SLING BAG LIGHT BLUE 
ETWS700,TAS SELEMPANG EVERYDAY LAPTOP SLING BAG DARK BLUE 
ETWS053,TAS SELEMPANG EVERYDAY LAPTOP SLING BAG BLACK 
ETWS101,TAS SELEMPANG JUMPER MINI SLING BAG 
ETWS674,TAS KAMERA EXSPORT ALL DAY CAMERA POUCH 
ETWS094,TAS JINJING MULTIFUNGSI EXSPORT DAILY CASUAL TOTEPACK 
ETWS186,TAS JINJING CITY ESSENTIALS DUFFLE BAG 
ETWS959,TAS RANSEL EXSPORT SCHOLAR BACKPACK L L 
ETWS317,TAS JINJING EXSPORT CITY ESSENTIALS DUFFLE BAG 
ETWS830,TAS KECIL EXSPORT SQUARE COIN POUCH 
ETWS402,TAS SELEMPANG EXSPORT GO ACTIVE MINI SLING BAG 
ETWS305,TAS EXSPORT EVERYDAY MULTIPURPOSE POUCH 2 
ETWS885,EXSPORT GO ACTIVE SLING BAG 
ETWS288,EXSPORT FAST TRACK TWO WAY CARRY 
ETWS442,EXSPORT DAILY CASUAL TOTEPACK 
ETWS439,EXSPORT JUMPER SLING BAG 
ETWS835,EXSPORT SCHOLAR BACKPACK IL 
ETWS620,EXSPORT CITY HUSTLER LAPTOP BACKPACK 
ETWS161,EXSPORT JUMPER RUCKSACK 
ETWS985,EXSPORT GET ON IT TOTE BAG 
ETWS362,EXSPORT MULTIPURPOSE PARTITION BAG 
ETWS827,EXSPORT DAY TO DAY MINI RUCKSACK 
ETWS582,EXSPORT CLASSIC RR01 1979 MINI BACKPACK 
ETWS149,TAS JINJING MULTIFUNGSI EXSPORT DAILY CASUAL LAPTOP TOTEPACK 
ETWS251,TAS EXSPORT JUMPER RUCKSACK 
ETWS960,EXSPORT EVERYDAY LAPTOP COMPARTMENT BAG 2 
ETWS265,EXSPORT TAKE A TRIP DUFFLE BAG 
ETWS487,EXSPORT SCHOLAR LAPTOP BACKPACK 
ETWS409,EXSPORT DAILY CASUAL LAPTOP TOTEPACK 
ETWS278,EXSPORT EVERYDAY MULTIPURPOSE POUCH 2 
ETWS395,TAS EXSPORT CLASSIC RR01 1979 BACKPACK 
ETWS591,EXSPORT GO AROUND TOTE BAG 
ETWS848,EXSPORT CHIMO TWO WAY CARRY LAPTOP BACKPACK 
ETWS895,EXSPORT MICROTWO WAY CARRY 
ETWS100,EXSPORT SCHOLAR LAPTOP BACKPACK | 
ETWS808,EXSPORT TAKE A TRIP DUFFLE BAG | 
ETWS707,TAS TAKE A TRIP DUFFLE L 
ETWS394,EXSPORT WEEKENDER RUCKSACK 
ETWS460,EXSPORT MINGLE MINI SLING BAG 
ETWS224,EXSPORT BASIC TWO WAY CARRY 
ETWS815,TAS RANSE LEXSPORT CITY HUSTLER LAPTOP BACKPACK 
ETWS038,TAS EXSPORT KUMARA MINI SLING BAG 
ETWS842,TAS EXSPORT UNTUK PEMBELIAN BULK ORDER
ETWS064,TAS EXSPORT JUNIOR BACKPACK 
ETWS130,TAS EXSPORT PENNY COIN POUCH 
ETWS187,TAS SELEMPANG EXSPORT GO ACTIVE SLING BAG 
ETWS555,TAS MINI EXSPORT MICRO TWO WAY CARRY 
ETWS653,TAS EXSPORT OUTGOING BACKPACK 
ETWS124,TAS RANSEL EXSPORT OUTGOING BACKPACK 
ETWS347,TAS EXSPORT STARTER TENNIS TOTE BAG 
ETWS343,TAS DAILY TRAINING FOLDABLE PACK 
ETWS268,TAS SEPATU DAILY TRAINING SHOES BAG 
ETWS126,BIRTHDAY/ CONGRATULATIONS GIFT CARD EXSPORT
ETWS929,TAS RANSEL EXSPORT CLASSIC RR01 1979 BACKPACK 
ETWS604,TAS SELEMPANG EXSPORT REROUND MINI SLING BAG 
ETWS033,TAS RANSEL EXSPORT GO ON VACATION BACKPACK 
ETWS427,TAS JINJING EXSPORT GO ON VACATION DUFFLE 
ETWS851,HARNES EXSPORT X PATEM DOG HARNESS 
ETWS220,TALI ANJING X PATEM DOG LEASH 
ETWS105,RAIN COVER 
ETWS219,TAS RANSEL CLASSIC RR01 1979 MINI BACKPACK 
ETWS898,TAS JINJING DAILY JOURNEY LAPTOP TOTE BAG 
ETWS282,TAS SELEMPANG EVERYDAY LAPTOP SLING BAG LIGHT PURPLE 
ETWS490,TAS RANSEL CLASSIC RR01 1979 BACKPACK CANVAS LIGHT BLUE 
ETWS771,TAS SELEMPANG EXSPORT X YUPI BURGER SLING BAG 
ETWS919,TAS EXSPORT DAY TO DAY MINI RUCKSACK 
ETWS190,EXSPORT JUMPER MINI SLING BAG 
ETWS652,TAS SELEMPANG WANITA EXSPORT CARRY ON SLING BAG 
ETWS001,TAS SELEMPANG WANITA EXSPORT GO AROUND WAIST BAG 
ETWS689,TAS JINJING EXSPORT GO AROUND TOTE BAG 
ETWS187,TAS JINJING EXSPORT TAKE A TRIP DUFFLE 
ETWS721,TAS JINJING EXSPORT DAILY LAPTOP TOTE BAG 
ETWS504,TAS RANSEL EXSPORT ALL DAY 102 LAPTOP BACKPACK 
ETWS269,SLING BAG EXSPORT MINGLE MINI SLING BAG 
ETWS139,TAS SLING BAG EXSPORT MINGLE MINI SLING BAG 
ETWS197,TAS JINJING EXSPORT GO
ETWS193,TAS KECIL EXSPORT SLIM POUCH 
ETWS152,TAS KECIL EXSPORT POUCH 
ETWS162,TAS KECIL  EXSPORT POUCH 
ETWS233,TAS RANSEL EXSPORT STROLLING AROUND BACKPACK 
ETWS032,BUKU JURNAL EXSPORT RELOVE JOURNALING BOOK 
ETWS396,TAS JINJING EXSPORT RELOVE FOLDABLE TOTE BAG 
ETWS397,TAS JINJING EXSPORT  RELOVE FOLDABLE TOTE BAG 
ETWS289,TAS KECIL EXSPORT CARRY
ETWS853,TAS RANSEL EXSPORT KUMARA BACKPACK 
ETWS209,TAS RANSEL EXSPORT KUMARA BACKPACK LIGHT BROWN 
ETWS406,EXSPORT X PHANTASIEN TOTE BAG
ETWS012,EXSPORT TAKE A TRIP DUFFLE BAG THREE TONE 
ETWS874,EXSPORT BASIC CRUNCH HANDBAG 
ETWS256,EXSPORT CLASSIC RR01 1979 BACKPACK V2 
ETWS031,EXSPORT HANDHELD LAPTOP TOTE BAG 
ETWS205,EXSPORT ACADEMIA BACKPACK 
ETWS889,EXSPORT X PHANTASIEN SHELTER TENDA
ETWS083,EXSPORT EVERYDAY RUCKSACK 
ETWS788,EXSPORT CRAFTER SERIES A 
ETWS283,EXSPORT DRIZZLE BACKPACK 
ETWS118,EXSPORT EVERYDAY MULTIPURPOSE POUCH 
ETWS073,EXSPORT JUNIOR PLUS BACKPACK 
ETWS363,EXSPORT JUNIOR TWO TONE BACKPACK 
ETWS883,EXSPORT DISCOVER SLING BAG 
ETWS084,EXSPORT HUSTLER LAPTOP SLING BAG 
ETWS618,EXSPORT HUSTLER LAPTOP SLING BAG  
ETWS335,JEROME 01 LAPTOP BACKPACK 
ETWS786,EXSPORT CONCERT REROUND SLING BAG 
ETWS534,EXSPORT BRITTLE MINI SLING BAG 
ETWS114,EXSPORT EVERYDAY LAPTOP SLEEVE 13 
ETWS638,EXSPORT CARRY ALL MINI SLING BAG 
ETWS600,EXSPORT CONCERT KUMARA SLING BAG 
ETWS386,EXSPORT CONCERT EASY GOING SLING BAG 
ETWS016,TAS EXSPORT TAKE A TRIP DUFFLE 
ETWS017,"TAS EXSPORT BECCA CITYPACK MEDIUM, BLACK"
ETWS871,EXSPORT MOCHILA MINI SLING BAG 
ETWS450,EXSPORT CARRY
ETWS403,EXSPORT EASY GOING SLING BAG 
ETWS506,EXSPORT EXPAND POUCH SET 
ETWS391,EXSPORT EVERYDAY IPAD SLEEVE 
ETWS554,EXSPORT BLOSSOM EVERYDAY MULTIPURPOSE POUCH 
ETWS089,EXSPORT BLOSSOM CITY STROLLING SLING BAG 
ETWS220,EXSPORT BLOSSOM EVERYDAY LAPTOP COMPARTMENT BAG 14 INCH 
ETWS654,EXSPORT BLOSSOM CLASSIC RR01 1979 BACKPACK 
ETWS334,EXSPORT SCHOLAR BACKPACK CANVAS 
ETWS574,EXSPORT JEROME 01 LAPTOP BACKPACK 
ETWS823,EVERYDAY LAPTOP SLEEVE 14 INCH 
ETWS287,EXSPORT EVERYDAY LAPTOP SLEEVE 14 
ETWS669,EXSPORT EVERYDAY LAPTOP TOTE BAG 
ETWS570,EXSPORT ESSENTIAL SLING BAG 
ETWS035,EXSPORT KUMARA MINI BACKPACK 
ETWS817,EXSPORT PICNIC TOTE BAG 
ETWS532,EXSPORT EVERYDAY INSULATED LUNCH BAG 
ETWS157,EXSPORT GO
ETWS010,EXSPORT EVERYDAY LAPTOP SLEEVE 13 INCH 
ETWS533,EXSPORT EVERYDAY LAPTOP SLEEVE 14 INCH 
ETWS035,EXSPORT CARRY ON SLING BAG 
ETWS146,EXSPORT X PHANTASIEN BACKPACK
ETWS603,EXSPORT TECH SLIM LAPTOP BACKPACK 
ETWS617,EXSPORT HANDHELD POUCH 
ETWS095,TAS EVERYDAY LAPTOP SLEEVE 14
ETWS017,TAS CARRY ON POUCH 
ETWS862,EXSPORT EVERYDAY LAPTOP SLEEVE 13
ETWS528,EXSPORT PICNIC INSULATED MEAL BAG 
ETWS949,TAS EXSPORT GO
ETWS818,EXSPORT X YUPI BABY BEAR HANDPHONE SLING BAG 
ETWS774,"SEGIA 2 WAY, BLU, L"
ETWS242,EXSPORT X YUPI MONO AIRPODS POUCH 
ETWS271,EXSPORT EVERYDAY IPAD COMPARTMENT POUCH 
ETWS016,"DOTTY PENCASE, LIM, NOS"
ETWS367,EXSPORT DAY TO DAY MINI RUCKSACK
ETWS812,TAS EXSPORT CALVINO GREEN
ETWS986,EXSPORT REROUND MINI SLING BAG 
ETWS634,TAS EXSPORT GO GETTER RUCKSACK TWO TONE 
ETWS571,EXSPORT COMPANION POUCH 
ETWS144,TAS EXSPORT ELVIRA MEDIUM 
ETWS136,TAS STECY TYREAL 
ETWS188,EXSPORT MONO AIRPODS POUCH 
ETWS388,EXSPORT MOCHILA POLY SLING BAG 
ETWS003,EXSPORT TAKE A TRIP DUFFLE 
ETWS236,EXSPORT ALL DAY LAPTOP BACKPACK 
ETWS686,EXSPORT SUNNY HANGING POUCH 
ETWS099,"LUCKY PATCH SET, NOC, NOS"
ETWS947,CINEMA PATCH SET EXSPORT
ETWS779,SUMMER PATCH SET EXSPORT
ETWS304,EXSPORT MONO COSMETIC POUCH 
ETWS041,TAS EXSPORT GO AROUND WAIST BAG 
ETWS253,EXSPORT SALLY MINI BACKPACK 
ETWS732,TAS EXSPORT SALLY MINI BACKPACK 
ETWS587,TAS EXSPORT AVERY SIMONY 
ETWS504,TAS EXSPORT CITY STROLLING SLING BAG CANVAS 
ETWS887,EXSPORT RUFFLE POUCH 
ETWS672,TAS EXSPORT ANGEL 
ETWS620,TAS EXSPORT ELVIRA MEDIUM TOTE BAG 
ETWS984,TAS EXSPORT VELA BACKPACK 
ETWS562,TAS EXSPORT VIENNA JOUR BACKPACK 
ETWS504,TAS EXSPORT SOUL CACE SHOULDER BAG 
ETWS889,TAS EXSPORT SINCLAIR BACKPACK 
ETWS871,TAS EXSPORT RUBYN MONO BACKPACK 
ETWS255,TAS EXSPORT RELIFE BACKPACK
ETWS063,TAS LAPTOP EXSPORT NIRMALA SIGHT 
ETWS455,TAS EXSPORT TWO WAY CARRY JOVANKA SIGHT NAVY 
ETWS354,TAS FIERNE AWAY WAISTBAG 
ETWS596,TAS SELEMPANG ELSKE VELDMAN 
ETWS669,EXSPORT ROSALIE SIGHT TOTE BAG 
ETWS035,EXSPORT SARAH BACKPACK 
ETWS496,EXSPORT STELLA BACKPACK 
ETWS857,EXSPORT TAKE A TRIP FOLDABLE BACKPACK 
ETWS029,TAS EXSPORT TAKE A TRIP DUFFLE BAG | 
ETWS926,EXSPORT X YUPI STRAWBERRY KISS BACKPACK 
ETWS892,TAS ROUQUIN LAPTOP SLING BAG 
ETWS228,TAS CARRY
ETWS945,EXSPORT SCHOLAR RUCKSACK 
ETWS897,EXSPORT CLASSIC RR01 SQUARE PRINTING 
ETWS478,EXSPORT KUMARA MINI SLING BAG 
ETWS283,TAS EXSPORT EMILIA BACKPACK 
ETWS043,EXSPORT FLOW AND GO TOTE BAG 
ETWS734,EXSPORT LIME TRIP MINI DAYPACK 
ETWS722,EXSPORT LIME TRIP MINI SLING BAG 
ETWS065,EXSPORT LIME TRIP MINI RUCKSACK 
ETWS258,EXSPORT PICNIC MAT 
ETWS876,EXSPORT PICNIC EYEWEAR POUCH 
ETWS679,EXSPORT CITY STROLLING SLING BAG 
ETWS785,"TAS EXSPORT BIMBA TOTE SUNDAY FOLKS A, "
ETWS519,TAS EXSPORT SEGIA WAIST BAG 
ETWS843,TAS EXSPORT HOLLY HOOP REVERSIBLE TOTE 
ETWS845,TAS EXSPORT ELVIRA FRUITTI TOTE BAG 
ETWS550,TAS EXSPORT STECY TYREAL BACKPACK 
ETWS919,TAS EXSPORT STECY TROIS BACKPACK 
ETWS561,TAS EXSPORT SEGIA TOTE BAG 
ETWS954,TAS EXSPORT DELANOIR LITE RED TYPO 
ETWS913,TAS BACKPACK DELANOIR FRUITTI 
ETWS103,TAS EXSPORT DEBORAH FELICA 
ETWS862,TAS EXSPORT FINESSE MILDE BACKPACK 
ETWS454,EXSPORT TREECODE TROIS LAPTOP BACKPACK 
ETWS444,TAS EXSPORT GRACE OLYMPIA TOTE BAG 
ETWS657,TAS EXSPORT GRACE OLYMPIA TOTEBAG 
ETWS714,EXSPORT KUMARA BACKPACK 
ETWS710,EXSPORT BASIC SQUARE TOTE BAG L 
ETWS057,EXSPORT BASIC CIRCLE TOTE BAG 
ETWS219,TAS EXSPORT MAKENZIE 1.0 MINI BACKPACK 
ETWS640,TAS EXSPORT SEGIA 2 WAY CARRY 
ETWS014,TAS EXSPORT SEGIS TWO WAY CARRY 
ETWS436,TAS EXSPORT HANNAH OLYMPIA BACKPACK 
ETWS153,TAS EXSPORT RUBYN DOS BACKPACK 
ETWS480,TAS EXSPORT RUBY OLYMPIA WAIST BAG 
ETWS846,TAS SERUT EXSPORT MILA OLYMPIA DRAWSTRING BAG 
ETWS802,TAS SERUT EXSPORT MILA OLYMPIA DRAWSTING BAG 
ETWS708,TAS EXSPORT MOA ZARZA BACKPACK 
ETWS020,TAS EXSPORT MOA ZARZA 
ETWS971,TAS EXSPORT MAJESTIC LARGE 
ETWS477,TAS SELEMPANG EXSPORT MAJESTIC MEDIUM 
ETWS941,TAS SELEMPANG MAJESTIC MEDIUM 
ETWS755,TAS EXSPORT PERCY WAIST BAG 
ETWS053,TAS LAPTOP EXSPORT LADIEN BANA 
ETWS304,TAS EXSPORT BACKPACK TAURI 
ETWS802,TAS EXSPORT TAURY BACKPACK 
ETWS552,"TAS SELEMPANG EXSPORT DOLFIN ZARZA, "
ETWS254,TAS EXSPORT CALVINO 
ETWS354,TAS EXSPORT BITTY ZARZA WAIST BAG 
ETWS979,TAS EXSPORT BECCA CITYPACK 
ETWS791,TAS EXSPORT BECCA CITYPACK MEDIUM
ETWS928,TAS EXSPORT BECCA BACKPACK MEDIUM 1A 
ETWS943,TAS EXSPORT AUSTIN ZARZA BACKPACK 
ETWS850,TAS EXSPORT BACKPACK AUSTIN ZARZA 
ETWS547,TAS BACKPACK AMORA RED TYPO 
